id,name,age
1,fukushima,20
2,fukushima,20
3,fukushima,20
4,fukushima,20
5,fukushima,20
6,fukushima,20
7,fukushima,20
8,fukushima,20
9,fukushima,20
10,fukushima,20
11,fukushima,20
12,fukushima,20
13,fukushima,20
14,fukushima,20
15,fukushima,20
16,fukushima,20
17,fukushima,20
18,fukushima,20
19,fukushima,20
20,fukushima,20
21,fukushima,20
22,fukushima,20
23,fukushima,20
24,fukushima,20
25,fukushima,20
26,fukushima,20
27,fukushima,20
28,fukushima,20
29,fukushima,20
30,fukushima,20
31,fukushima,20
32,fukushima,20
33,fukushima,20
34,fukushima,20
35,fukushima,20
36,fukushima,20
37,fukushima,20
38,fukushima,20
39,fukushima,20
40,fukushima,20
41,fukushima,20
42,fukushima,20
43,fukushima,20
44,fukushima,20
45,fukushima,20
46,fukushima,20
47,fukushima,20
48,fukushima,20
49,fukushima,20
50,fukushima,20
51,fukushima,20
52,fukushima,20

